Fulfil Customer Shipments Fulfil Customer Shipment Number,Fulfil Customer Shipments Create Time,Fulfil Customer Shipments Assigned Time,Fulfil Customer Shipments Picking Started Time,Fulfil Customer Shipments Picked Time,Fulfil Customer Shipments Weight,Fulfil Customer Shipments Shipped Time
CS115882,2022-07-21 13:52:54,2022-07-21 13:53:02,2022-07-21 17:19:53,2022-07-21 17:28:51,45,
CS115882,2022-07-21 13:52:54,2022-07-21 13:53:02,2022-07-21 17:19:53,2022-07-21 17:28:51,45,2022-07-22 10:35:14
CS115879,2022-07-21 13:47:02,2022-07-21 13:47:04,2022-07-21 19:52:07,2022-07-21 20:06:22,88.1,2022-07-22 8:46:40
CS115875,2022-07-21 13:42:13,2022-07-21 20:17:27,2022-07-21 20:17:30,2022-07-21 21:23:52,"3,060.44",
CS115874,2022-07-21 13:41:37,2022-07-21 13:41:46,2022-07-22 6:19:29,2022-07-22 6:48:08,"2,195.20",
CS115872,2022-07-21 13:39:34,2022-07-21 13:39:39,2022-07-21 17:45:18,2022-07-21 17:53:36,30,2022-07-22 8:45:58
CS115869,2022-07-21 13:34:07,2022-07-21 13:34:12,2022-07-21 21:03:45,2022-07-22 2:18:19,533.38,2022-07-22 10:03:05
CS115868,2022-07-21 13:28:55,2022-07-21 13:29:02,2022-07-21 21:04:46,2022-07-21 21:39:02,"1,013.20",
CS115867,2022-07-21 13:19:39,2022-07-21 13:19:49,2022-07-21 15:02:56,2022-07-21 15:33:15,158.7,2022-07-22 9:48:06
CS115866,2022-07-21 13:18:10,2022-07-21 18:17:45,2022-07-21 18:02:59,2022-07-21 18:19:17,726.04,2022-07-22 9:21:07
CS115863,2022-07-21 13:14:48,2022-07-21 13:14:52,2022-07-21 18:54:46,2022-07-21 19:27:02,"3,007.60",2022-07-22 8:46:21
CS115862,2022-07-21 13:12:06,2022-07-21 15:53:57,2022-07-21 17:11:58,2022-07-21 17:12:17,"4,320",
CS115859,2022-07-21 13:03:48,2022-07-21 16:15:08,2022-07-21 16:15:31,2022-07-21 16:15:32,43.4,
CS115858,2022-07-21 12:59:10,2022-07-21 12:59:20,2022-07-22 6:14:46,2022-07-22 6:15:11,836.1,
CS115858,2022-07-21 12:59:10,2022-07-21 12:59:20,2022-07-22 6:14:46,2022-07-22 6:15:11,836.1,
CS115854,2022-07-21 12:50:49,2022-07-21 12:50:52,2022-07-21 16:32:24,2022-07-21 17:17:38,"2,109.97",2022-07-22 10:24:40
CS115853,2022-07-21 12:49:12,2022-07-21 12:49:16,2022-07-21 15:42:12,2022-07-21 16:31:52,752.2,2022-07-22 9:44:30
CS115851,2022-07-21 12:44:57,2022-07-21 15:36:42,2022-07-21 15:36:51,2022-07-21 15:36:54,150,2022-07-22 10:07:44
CS115846,2022-07-21 12:13:46,2022-07-21 12:44:17,2022-07-21 12:44:30,2022-07-21 12:44:36,220,2022-07-22 8:07:31
CS115844,2022-07-21 12:11:44,2022-07-21 12:11:54,2022-07-21 13:55:50,2022-07-21 14:22:22,400.2,2022-07-22 9:03:42
CS115843,2022-07-21 12:10:14,2022-07-21 12:53:25,2022-07-21 12:53:32,2022-07-21 12:53:33,10.11,2022-07-22 9:44:59
CS115841,2022-07-21 12:04:34,2022-07-21 12:04:44,2022-07-21 14:09:50,2022-07-21 14:36:57,780,
CS115840,2022-07-21 12:03:10,2022-07-21 12:03:14,2022-07-21 13:41:18,2022-07-21 19:55:00,267,2022-07-22 9:22:43
CS115836,2022-07-21 12:01:06,2022-07-21 12:01:10,2022-07-21 17:30:12,2022-07-21 17:34:15,180,2022-07-22 8:37:56
CS115832,2022-07-21 11:51:27,2022-07-21 12:52:55,2022-07-21 12:52:59,2022-07-21 12:53:03,5,2022-07-22 9:38:41
CS115831,2022-07-21 11:51:24,2022-07-21 11:51:34,2022-07-22 6:16:51,2022-07-22 6:48:46,"2,746.61",
CS115830,2022-07-21 11:44:44,2022-07-21 11:44:51,2022-07-21 11:54:45,2022-07-21 12:36:20,"1,154.21",2022-07-21 17:00:57
CS115828,2022-07-21 11:40:41,2022-07-21 11:40:44,2022-07-21 14:29:37,2022-07-21 18:54:03,"1,600",
CS115828,2022-07-21 11:40:41,2022-07-21 11:40:44,2022-07-21 14:29:37,2022-07-21 18:54:03,"1,600",2022-07-22 10:35:52
CS115827,2022-07-21 11:37:39,2022-07-21 11:37:41,2022-07-21 11:54:37,2022-07-21 12:36:11,442.69,2022-07-21 16:20:17
CS115826,2022-07-21 11:36:46,2022-07-21 14:02:52,2022-07-21 14:02:56,2022-07-21 14:02:57,139.13,2022-07-21 18:19:01
CS115825,2022-07-21 11:36:43,2022-07-21 11:36:53,2022-07-21 11:42:28,2022-07-21 12:31:25,254.92,2022-07-21 18:18:43
CS115822,2022-07-21 11:23:59,2022-07-21 11:24:03,2022-07-21 14:08:35,2022-07-21 14:17:30,41.6,2022-07-22 8:33:06
CS115814,2022-07-21 11:16:22,2022-07-21 11:16:30,2022-07-21 13:41:50,2022-07-21 13:51:20,200,2022-07-22 10:30:05
CS115813,2022-07-21 11:15:58,2022-07-21 11:16:03,2022-07-21 11:35:56,2022-07-21 12:25:42,201.52,2022-07-21 16:40:08
CS115812,2022-07-21 11:09:04,2022-07-21 11:09:08,2022-07-21 18:24:48,2022-07-21 18:54:16,"3,306.14",2022-07-22 8:33:42
CS115811,2022-07-21 11:08:07,2022-07-21 11:08:11,2022-07-21 11:25:59,2022-07-21 11:34:45,69.2,2022-07-21 16:37:53
CS115810,2022-07-21 11:06:29,2022-07-21 11:06:31,2022-07-21 11:26:05,2022-07-21 11:34:27,17.3,2022-07-21 16:38:00
CS115809,2022-07-21 11:05:35,2022-07-21 11:05:37,2022-07-21 11:25:00,2022-07-21 11:52:44,179.24,2022-07-21 19:06:16
CS115808,2022-07-21 11:04:40,2022-07-21 11:04:43,2022-07-21 14:51:37,2022-07-21 15:02:27,88,2022-07-22 9:17:38
CS115805,2022-07-21 11:02:09,2022-07-21 11:14:06,2022-07-21 11:14:26,2022-07-21 11:14:30,"6,251.20",2022-07-21 11:23:52
CS115803,2022-07-21 11:02:00,2022-07-21 11:02:20,2022-07-21 11:10:33,2022-07-21 11:10:37,"21,077.25",2022-07-21 11:23:50
CS115799,2022-07-21 10:54:37,2022-07-21 10:54:43,2022-07-21 11:05:58,2022-07-21 12:30:24,"2,410.65",2022-07-21 18:04:53
CS115797,2022-07-21 10:49:41,2022-07-21 10:49:44,2022-07-21 13:50:27,2022-07-21 14:04:59,"2,256",
CS115795,2022-07-21 10:46:50,2022-07-21 10:46:59,2022-07-21 10:48:14,2022-07-21 14:04:49,651,
CS115794,2022-07-21 10:44:04,2022-07-21 10:44:08,2022-07-21 14:24:15,2022-07-21 14:37:11,174.42,
