Renorun SKU,Feb 4,Feb 11,Feb 18,Feb 25,Mar 4,Mar 11,Mar 18,Mar 25,Apr 1,Apr 8,Apr 15,Apr 22,Apr 29,May 6,May 13,May 20,May 27,Jun 3,Jun 10,Jun 17,Jun 24,Jul 1,Jul 8,Jul 15
1201000955,315,1177,1180,932,715,379,533,620,468,273,1046,748,1684,1436,1678,1542,1346,1078,1608,1284,1284,739,715,570
1000002573,126,126,126,126,126,126,126,126,174,1680,1643,1601,1586,1554,1476,1408,1368,1334,1310,1235,1235,1204,1190,1120
1000001566,1262,1262,1262,1262,1262,1255,1253,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1243,1225,1225,1213,1213,1213
1000001337,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,772,743,743
1000005767,0,0,0,0,0,0,0,540,540,1424,1424,1393,1392,1342,1329,1329,1260,2219,1200,1183,1183,1146,1122,1122
1401000169,309,309,309,309,589,589,1009,1009,1007,1007,1137,1080,1075,1047,1041,1007,992,936,1190,1168,1168,736,733,1019
1001000064,266,721,484,780,570,761,932,1033,739,465,474,331,405,196,22,372,859,458,547,1112,1112,893,864,596
1201000952,1052,367,722,643,552,343,226,1165,2082,4906,4728,4372,4156,3473,3001,2764,2258,1918,1572,1098,1098,1558,1199,859
1000005770,0,0,0,0,0,0,0,1106,1106,1105,1105,1105,1105,1105,1105,1105,1103,1639,1096,1096,1096,1092,1092,1092
1101000640,551,416,234,89,98,0,1890,1710,1648,1612,2128,1005,969,311,50,1746,1516,1374,1150,1094,1094,329,868,512
1401000183,19,19,175,655,651,651,648,644,654,594,596,577,504,459,395,286,227,335,656,1066,1066,883,831,1172
1000001356,1300,1250,1250,1218,1218,1218,1218,1218,1118,1118,2217,2176,2104,2104,2104,1204,1198,1135,1065,1065,1065,934,909,880
1305000531,56,0,336,1,517,466,191,56,386,288,1537,1869,1685,1190,1848,1548,1353,1203,1037,1037,1037,766,746,716
1401000170,179,349,349,349,489,623,623,812,1083,1077,1145,1222,1150,1086,981,934,839,882,1043,1020,1020,708,689,668
1104001017,126,115,71,53,36,33,27,404,1200,1191,1160,1157,1149,1139,1117,1116,1065,1068,1048,1018,1018,986,980,966
1401000168,461,461,601,601,601,791,790,790,997,1013,984,1166,1172,1151,1147,1128,1088,1049,1026,1010,1010,962,971,962
1000005995,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,1000,1000,1000,1000,1000,1000,940,940
1401000172,0,0,104,104,623,778,1137,1094,1091,1349,1346,1329,1313,1249,1237,1220,1200,1161,1078,984,984,913,915,873
1102000741,258,422,218,189,124,600,1195,1181,1110,1102,1070,1061,1050,1037,1020,1016,1008,1007,1002,983,983,138,135,139
1201000957,1066,966,792,728,648,555,476,310,593,982,847,723,1090,868,1003,957,828,723,1093,978,978,719,639,331
1101000658,2488,2162,1823,1648,1448,1092,835,448,1111,1028,714,348,1142,950,451,729,2140,1326,1050,969,969,1231,2205,1842
1102000747,275,250,250,439,385,600,1023,1016,1016,997,997,997,975,975,972,972,972,966,954,953,953,685,685,665
1000001336,480,430,430,430,430,388,388,388,267,594,717,1674,1674,1674,1652,1397,1187,1132,996,927,927,895,895,883
2909001899,0,0,0,0,0,0,0,0,0,882,882,882,924,924,924,924,924,924,924,924,924,894,894,894
1401000185,23,23,23,23,87,685,669,667,1198,1177,1149,1140,1121,1061,1030,963,933,1017,976,923,923,882,866,814
1401000186,273,273,273,982,982,1450,1447,1433,1433,1415,1386,1387,1352,1344,1289,1213,1167,1054,974,911,911,641,636,2066
1001000066,1309,918,501,1370,1602,1206,1698,1296,1031,726,1559,960,1143,1322,935,697,972,575,1273,906,906,2461,2290,2161
1000001357,276,276,276,576,576,576,556,556,556,556,556,524,524,524,900,900,900,900,900,900,900,396,396,396
1505000757,584,416,210,145,304,683,618,1041,805,1561,1513,1410,1216,785,976,726,490,370,455,862,862,174,383,371
1102000748,237,372,352,323,453,481,720,496,578,1008,998,850,822,557,519,463,901,864,860,848,848,442,392,392
1000001335,859,859,859,859,859,859,859,859,859,859,859,843,843,843,843,843,843,840,840,840,840,514,514,514
1101000656,2188,3166,3002,2852,2696,2337,2207,1769,1591,1420,920,574,797,544,372,177,1002,926,1017,839,839,0,0,1305
1104000711,195,179,227,220,210,208,208,732,936,909,909,908,908,895,879,869,857,853,838,825,825,820,820,756
1101000670,423,753,733,650,480,434,389,351,1176,1156,1135,1135,1103,1171,1131,1041,1005,927,850,808,808,622,616,607
2909003283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,800,800,800,800,800,800,800
2909003282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,800,790,790,790,790,790,790,790
1003000054,396,527,442,334,254,218,701,688,601,399,363,351,221,804,946,906,954,948,908,789,789,737,704,654
1000001347,45,39,39,39,39,39,39,260,260,246,238,678,678,678,660,660,660,640,789,769,769,763,763,755
